name,link,ingredients,steps,nutrition,image_url
Chef John's Zucchini Bread Is the World's Most Mysterious Quick Loaf,https://www.allrecipes.com/article/zucchini-bread-is-mysterious/,,,,https://cdn.jwplayer.com/v2/media/EgTI3Lii/poster.jpg?width=720
Chocolate Wave Zucchini Bread,https://www.allrecipes.com/recipe/6731/chocolate-wave-zucchini-bread/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated zucchini'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ⅔', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'mini semi-sweet chocolate chips'}","Preheat oven to 350 degrees F (175 degrees C). Grease one 9 x 5 inch loaf pan.. In a large bowl, cream shortening and sugar together. Mix in eggs. Add zucchini, water, and vanilla; stir. Blend in flour, baking soda, salt , baking powder, and pumpkin pie spice. Stir in nuts.. Divide batter in half, and add cocoa powder and chocolate chips to one of the halves. Pour plain batter into bottom of the loaf pan. Pour chocolate batter on top of plain batter.. Bake until wooden pick inserted into center comes out clean, about 1 hour. Cool 10 minutes, and remove from pan. Store in refrigerator.","calories: 263, fat: 11g, carbs: 40g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/ISWRaEL8/poster.jpg?width=720
20 Best Zucchini Bread Recipes to Use Up All That Summer Squash,https://www.allrecipes.com/gallery/best-zucchini-bread-recipe-ideas/,,,,https://www.allrecipes.com/thmb/CECIFV6X_6vJb4NGrf9LE9GCtEw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Lemon-Zucchini-Bread-e5d26939bfc84d7eb73b58a60b111dde.jpg
8 Ways to Make Zucchini Pancakes,https://www.allrecipes.com/gallery/zucchini-pancake-recipes/,,,,https://www.allrecipes.com/thmb/i27pcQ52QAbvWWjaiUfanB9CWx4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16061-zucchini-pancakes-keribeth-d35fcb64b96748749c290677acd28131.jpg
Best Zucchini Bread,https://www.allrecipes.com/recipe/6915/zucchini-bread-iv/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated zucchini'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}","Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 8x4-inch loaf pans.. Beat eggs in a large bowl until light and frothy. Add sugar and oil; mix until well combined. Stir in zucchini and vanilla. Combine flour, nuts, cinnamon, salt, baking soda, and baking powder; stir into egg mixture until incorporated. Divide batter into the prepared pans.. Bake in the preheated oven until a toothpick inserted into the center of each loaf comes out clean, 60 to 70 minutes.","calories: 231, fat: 12g, carbs: 30g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/iBQk9Oik/poster.jpg?width=720
Snickerdoodle Zucchini Bread,https://www.allrecipes.com/snickerdoodle-zucchini-bread-recipe-7971181,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '3/4 cup plus 2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'oil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'cup', 'name': 'zucchini'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}","Preheat the oven to 350 degrees F (180 degrees C). Spray a loaf pan with non-stick cooking spray. Set aside.. Combine 3/4 cup plus 2 tablespoons sugar, oil, egg, and vanilla in a large bowl; mix well. In another bowl, mix flour, cinnamon, baking soda, salt, baking powder, nutmeg, and cream of tartar. Add flour mixture to oil mixture. Stir until well combined. Batter will be very thick. Add zucchini and stir until well incorporated.. Whisk 1/4 cup sugar and 1/2 teaspoon cinnamon together in a small bowl. Pour half the batter into the prepared pan, smoothing with a spatula and top with half of the cinnamon sugar. Top with remaining batter, smoothing with a spatula, and top with remaining cinnamon sugar.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 45 to 55 minutes. Let cool on a wire rack for 15 minutes before turning out.","calories: 334, fat: 15g, carbs: 47g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/fcWULXMCEn__PsXRYsFtTEng4_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7971181_Snickerdoodle-Zucchini-Bread_Yoly_4x3.2-3cdb368c02564796ae53c2f7ae3e57ab.jpg
Mom's Zucchini Bread,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated zucchini'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 8x4-inch pans.. Sift flour, salt, baking powder, baking soda, and cinnamon together in a large bowl.. Beat eggs, oil, sugar, and vanilla together in a separate large bowl with an electric mixer until combined; add flour mixture and beat well.. Stir in zucchini and walnuts until well combined.. Pour batter into the prepared pans.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 40 to 60 minutes. Cool in the pans on a wire rack for 20 minutes.. Run a table knife around the edges to loosen. Invert carefully onto a wire rack and let cool completely.","calories: 256, fat: 13g, carbs: 32g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/ihKuISyU/thumbnails/A11i9b5k.jpg
Chocolate Zucchini Muffins,https://www.allrecipes.com/recipe/7167/chocolate-zucchini-muffins/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated zucchini'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cardamom'}","Preheat the oven to 350 degrees F (175 degrees C). Grease two 12-cup muffin tins or line cups with paper liners.. Whisk eggs in a large bowl until smooth. Add sugar, oil, cocoa, and vanilla; whisk until well blended. Stir in zucchini. Add flour, baking soda, salt, baking powder, cinnamon, nutmeg, cloves, and cardamom; mix until just moist.. Spoon batter into the prepared muffin cups, filling each 2/3 full. Bake in the preheated oven until tops spring back when lightly pressed, about 20 to 25 minutes. Transfer to a wire rack to cool completely; store loosely covered.","calories: 219, fat: 10g, carbs: 30g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/rCAIdahIyomM7HUlOiZGNq6WKkE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/459186-chocolate-zucchini-muffins-Pam-Ziegler-Lutz-4x3-1-4c6356462fc646f38ffae2e35c7695ef.jpg
Blueberry Zucchini Bread,https://www.allrecipes.com/recipe/74657/blueberry-zucchini-bread/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded zucchini'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'pint', 'name': 'fresh blueberries'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease 4 mini loaf pans.. Beat together sugar, oil, eggs, and vanilla in a large bowl. Fold in zucchini.. Beat in flour, cinnamon, salt, baking powder, and baking soda until just combined.. Gently fold in blueberries. Pour batter into the prepared pans.. Bake in the preheated oven until a knife inserted in the center of a loaf comes out clean, about 50 minutes.. Cool in the pans for 20 minutes, then turn out onto a wire rack to cool completely. Enjoy!","calories: 461, fat: 20g, carbs: 67g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/G2e9iHyJ/thumbnails/ptoBO5ek.jpg
Hearty Breakfast Muffins,https://www.allrecipes.com/recipe/231643/hearty-breakfast-muffins/,"{'quantity': '2', 'unit': '', 'name': 'carrots, shredded'}, {'quantity': '2', 'unit': '', 'name': 'bananas, mashed'}, {'quantity': '1', 'unit': '', 'name': 'zucchini, shredded'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'yogurt'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole wheat flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded coconut'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried cherries'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}","Preheat the oven to 375 degrees F (190 degrees C). Grease 12 muffin cups or line with paper liners.. Mix carrots, banana, zucchini, vegetable oil, yogurt, and eggs together in a large bowl until well combined.. Whisk flour and baking soda together in a separate bowl. Mix brown sugar, oats, coconut, pecans, cherries, cinnamon, salt, and ginger into flour mixture until all ingredients are coated in flour. Stir banana mixture into flour mixture until just combined. Spoon batter into the prepared muffin cups, filling each 2/3 full.. Bake in the preheated oven until tops spring back when lightly pressed, about 18 to 22 minutes. Cool in the tin for 10 minutes. Transfer to a wire rack to cool completely.","calories: 227, fat: 10g, carbs: 32g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/NDB8nUta9ypFnDk_z5N-0qx4LwE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7399706-hearty-breakfast-muffins-den-den-4x3-1-883a377549ad401597990e4f405d9515.jpg
