name,link,ingredients,steps,nutrition
The Best Apples for Apple Pie and Apple Crisp,https://www.allrecipes.com/article/best-apples-for-apple-pie-and-apple-crisp/,,,
Apple Hand Pies,https://www.allrecipes.com/recipe/234374/apple-hand-pies/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'green apples - peeled, cored, and cut into chunks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water, or more if needed (Optional)'}, {'quantity': '1', 'unit': 'pound', 'name': 'prepared pie dough, cut into 4 pieces'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar, or as needed'}","Melt butter in a large skillet over medium heat; let butter brown to a light golden color and smell toasted, about 1 minute. Stir apples into hot butter; sprinkle with 1/4 cup white sugar, brown sugar, and salt. Cook and stir apple mixture until apples are softened, about 5 minutes. Mix in cinnamon and water; continue cooking until apples are soft and sticky, 1 to 2 more minutes. Spread apple filling onto a plate to cool.. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with a silicone mat or parchment paper.. Form a dough piece into a ball, place on a floured work surface, and roll into a circle about 8 inches in diameter.. Spoon 1/3 to 1/2 cup apple filling in the center.. Fold dough over filling, leaving about 1 inch of dough on the bottom side visible below the top side. Gently press dough closed around filling, using your fingertips.. Fold the overhanging bottom part of dough up over the top edge, working your way around the crust, and pinch the overhang tightly to the top part of the crust.. Crimp the edge tightly closed, pinching a little bit of dough with the thumb and forefinger of one hand and using your index finger on the other hand to push a small notch into the pinched dough. Continue pinching and notching all the way around until crust is tightly crimped together. Repeat with remaining dough and filling. Transfer pies onto prepared baking sheet.. Whisk egg with milk in a small bowl until thoroughly combined. Brush top of each hand pie with egg mixture and sprinkle with about 1/4 teaspoon white sugar. Cut 3 small vent holes in the top of each pie.. Bake in the preheated oven until pies are golden brown and filling is bubbling, 25 to 30 minutes. Let cool for at least 15 minutes before serving.","calories: 728, fat: 42g, carbs: 82g, protein: 9g, servings: 4"
Tips for Making Apple Pie Filling With Fresh or Frozen Apples,https://www.allrecipes.com/article/making-apple-pie-filling/,,,
Does Apple Pie Need to Be Refrigerated?,https://www.allrecipes.com/article/does-apple-pie-need-to-be-refrigerated/,,,
Dutch Apple Pie with Oatmeal Streusel,https://www.allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel/,"{'quantity': '5', 'unit': 'cups', 'name': 'apples - peeled, cored and sliced'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'frozen pie crust'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'aluminum foil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}","Preheat the oven to 425 degrees F (220 degrees C).. Make the apple pie: Place apple slices in a large bowl. Mix white sugar, flour, cinnamon, nutmeg, and allspice together in a separate bowl until combined; sprinkle over apples and toss until evenly coated.. Remove pie shell from freezer; pour apple mixture into pie shell and dot with butter. Lay a sheet of aluminum foil lightly on top of filling, but do not seal.. Bake pie in the preheated oven for 10 minutes.. Meanwhile, make the streusel topping: Mix flour, oats, brown sugar, lemon zest, and cinnamon in a medium bowl until combined. Cut in butter until mixture is crumbly. Remove pie from oven and sprinkle streusel on top.. Reduce heat to 375 degrees F (190 degrees C). Return pie to oven and bake until streusel is browned and apples are tender, 30 to 35 minutes more. Cover loosely with aluminum foil to prevent excess browning.","calories: 441, fat: 20g, carbs: 63g, protein: 4g, servings: 8"
Easy Caramel Apple Crisp Pie,https://www.allrecipes.com/easy-caramel-apple-crisp-pie-recipe-8716995,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '2', 'unit': '(20 ounce) cans', 'name': 'apple pie filling'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'thick caramel dip'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'oats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Pour pie filling into crust.. Heat caramel dip in a microwave on High until runny, about 20 seconds. Drizzle caramel over pie filling.. Combine flour, brown sugar, oats, butter, cinnamon, and salt in a bowl and mix together with a fork until combined and crumbly. Scatter crumble mixture evenly over pie. Place pie on a rimmed baking sheet.. Bake in the preheated oven until crust is golden brown and filling is bubbly around the edges, 35 to 45 minutes. Let stand for 20 minutes before serving.","calories: 627, fat: 27g, carbs: 95g, protein: 5g, servings: 8"
Copycat McDonald's Apple Pies,https://www.allrecipes.com/copycat-mcdonalds-apple-pies-recipe-8411642,"{'quantity': '2', 'unit': 'cups', 'name': 'apples'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': None, 'name': 'refrigerated pie crust'}, {'quantity': '1', 'unit': None, 'name': 'large egg'}, {'quantity': None, 'unit': None, 'name': 'Cooking spray'}",,"calories: 265, fat: 13g, carbs: 34g, protein: 3g, servings: 8"
Caramel Apple Pie Cookies,https://www.allrecipes.com/caramel-apple-pie-cookies-recipe-7642173,"{'quantity': '1', 'unit': '(14.1-ounce) package', 'name': 'rolled refrigerated unbaked pie crusts (2 crusts)'}, {'quantity': '1', 'unit': 'cup', 'name': 'apple pie filling'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'caramel sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'apple pie or ground cinnamon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'half and half'}",,"calories: 112, fat: 5g, carbs: 16g, protein: 1g, servings: 20"
Mom's Apple Cranberry Pie,https://www.allrecipes.com/recipe/230243/moms-cranberry-apple-pie/,"{'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'pastry for a double-crust 9-inch pie'}, {'quantity': '4', 'unit': 'cups', 'name': 'peeled and sliced apples'}, {'quantity': '2', 'unit': 'cups', 'name': 'cranberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, cut into small pieces'}","Preheat the oven to 400 degrees F (200 degrees C). Line the bottom and sides of a 9-inch pie plate with one pie crust.. Arrange sliced apples in prepared crust; spread cranberries over apples. Whisk sugar, cornstarch, and cinnamon in a small bowl; sprinkle mixture over cranberries. Distribute butter pieces over pie filling.. Cover filling with remaining pie crust; crimp both crusts together, and cut several slits into top crust to vent steam.. Bake in the preheated oven until pie is browned and fruit filling is bubbling, 45 minutes to 1 hour.","calories: 397, fat: 17g, carbs: 59g, protein: 4g, servings: 8"
Apple Pie by Grandma Ople,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,"{'quantity': '8', 'unit': 'small', 'name': 'Granny Smith apples, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'double-crust pie pastry, thawed'}",,"calories: 373, fat: 19g, carbs: 52g, protein: 2g, servings: 8"
