name,link,ingredient,steps,nutrition,image_url
Easiest-ever fried rice,https://www.taste.com.au/recipes/unique-fried-rice-recipe/ul4qta63#coral_thread,"[{'quantity': '1', 'unit': 'cup', 'name': '(200g) brown rice'}, {'quantity': '1', 'unit': 'cup', 'name': '(200g) white rice'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '300', 'unit': 'g', 'name': 'Coles RSPCA Approved Australian Chicken Breast Fillet, cut into 3cm pieces'}, {'quantity': '2', 'unit': 'carrots', 'name': ', peeled, finely chopped'}, {'quantity': '1', 'unit': 'cup', 'name': '(120g) frozen baby peas'}, {'quantity': '1', 'unit': 'red', 'name': 'capsicum, seeded, finely chopped'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'spring', 'name': 'onions, thinly sliced'}]","Boil brown and white rice separately following packet directions. Drain well., Heat the oil in a large frying pan over medium heat. Add the chicken and stir-fry for 3-4 mins or until chicken is browned and cooked through., Add the carrot, peas and capsicum to the pan. Stir-fry for 3 mins or until vegetables are tender. Add combined rice to the pan. Stir-fry for 2 mins or until well combined. Remove from heat. Stir in the soy sauce and spring onion.","calories: 543, fat: 8.7g, carbs: 87.4g, protein: 26.8g, servings: 4",https://content.api.news/v3/images/bin/640b9032c71e6a71154a4b0e2af7454c
Cheesy French onion meatballs and mushrooms,https://www.taste.com.au/recipes/cheesy-french-onion-meatballs-mushrooms-recipe/nispc93v#coral_thread,"[{'quantity': '1', 'unit': 'egg', 'name': ', lightly whisked'}, {'quantity': '500', 'unit': 'g', 'name': 'Coles Beef 3 Star Regular Mince'}, {'quantity': '50', 'unit': 'g', 'name': '(1 cup) panko breadcrumbs'}, {'quantity': '40', 'unit': 'g', 'name': 'packet French onion soup mix'}, {'quantity': '80', 'unit': 'g', 'name': 'Colby cheese, cut into 20 small pieces'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'vegetable oil'}, {'quantity': '200', 'unit': 'g', 'name': 'portobello mushrooms, thickly sliced'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'tomato paste'}, {'quantity': '125', 'unit': 'ml', 'name': '(1 ⁄2 cup) thickened cream'}, {'quantity': '60', 'unit': 'g', 'name': 'baby spinach'}, {'quantity': '4', 'unit': 'crusty', 'name': 'bread slices'}]","Combine the egg, beef, breadcrumbs and 1&1/2 tbsp soup mix in a large bowl. Use your hands to mix evenly. Roll a slightly heaped tablespoonful of mixture into a ball then flatten slightly. Place a piece of cheese in the centre then enclose and reshape mixture firmly into a ball. Repeat with the remaining mixture and cheese. Place on a tray and transfer to the fridge for 30 minutes to chill., Heat the oil in a large non-stick frying pan over medium-high heat. Add half the meatballs. Cook, turning occasionally, for 5 minutes or until browned evenly. Transfer to a plate. Repeat with remaining meatballs., Add mushroom to pan. Spread out to a single layer and cook, without turning, for 3 minutes or until golden brown underneath. Turn and cook on other side for 2 minutes. Transfer to the plate with meatballs., Reduce heat to medium. Add the tomato paste to pan and cook, stirring, for 1 minute. Place the cream and 125ml (1 ⁄2 cup) water in a jug. Stir through the remaining soup mix until combined. Gradually pour the cream mixture into the pan, stirring, until combined., Return the meatballs and mushrooms to pan. Cover with a lid and reduce heat to low. Simmer for 3 minutes then add the spinach. Cover and simmer for 2 minutes or until wilted. Season and serve with crusty bread.","calories: 750, fat: 49.4g, carbs: 39.0g, protein: 35.9g, servings: 4",https://img.taste.com.au/gJ9jKwKI/w720-h480-cfill-q80/taste/2023/02/cheesy-french-onion-meatballs-and-mushrooms-184637-2.jpg
Thai chicken lettuce cups with avocado and lime,https://www.taste.com.au/recipes/thai-chicken-lettuce-cups-avocado-lime/de26d10a-34dd-43cc-b88c-f12f1ef95d1d#coral_thread,"[{'quantity': '50', 'unit': 'g', 'name': ""Chang's rice vermicelli noodles""}, {'quantity': '1 1/2', 'unit': 'tsp', 'name': 'Coles brand cornflour'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'water'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': '(75g) carrot, peeled, cut into matchstick-size strips'}, {'quantity': '4', 'unit': 'cm', 'name': '-piece (20g) fresh ginger, peeled, finely chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': '(', 'name': '14g) fresh loose long red chilli, finely chopped'}, {'quantity': '400', 'unit': 'g', 'name': 'Coles chicken mince'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'Coles brand oyster sauce'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'Maggi fish sauce'}, {'quantity': '40', 'unit': 'g', 'name': 'fresh bean sprouts'}, {'quantity': '12', 'unit': 'cos', 'name': 'lettuce leaves (about 1/2 lettuce)'}, {'quantity': '1/2', 'unit': 'firm', 'name': 'but ripe avocado, peeled, pitted, and cut into cubes'}, {'quantity': '1/2', 'unit': 'lime', 'name': ', cut into 4 thin wedges'}]","Bring a large saucepan of salted water to a boil over high heat. Stir in the vermicelli and cook, stirring often, for about 1-2 mins or until barely tender. Drain in a sieve and rinse under cold water until cooled. Drain well and transfer to a bowl. Stir the cornflour and 2 tablespoons water in a small bowl to blend., Heat a wok or large heavy-based non-stick frying pan over medium-high heat. Add the oil, then add the carrot, ginger, garlic, and chilli and cook for about 1 min, or until fragrant. Add the mince and cook, breaking it up with a spoon or spatula, for 2 mins or until almost cooked. Stir in the oyster sauce, fish sauce, and cornflour mixture. Cook for about 1-2 mins to allow the flavours to blend and the sauce to simmer and thicken slightly. Fold in the bean sprouts., Divide the vermicelli among the lettuce cups. Top with the mince mixture. Garnish with the avocado and coriander, and serve with the lime wedges.","calories: 1141, fat: 56.8g, carbs: 80.9g, protein: 83.5g, servings: 4",https://img.taste.com.au/fqti94HE/w720-h480-cfill-q80/taste/2016/11/thai-chicken-lettuce-cups-with-avocado-and-lime-90356-1.jpeg
Oven-baked mushroom risotto with pesto,https://www.taste.com.au/recipes/oven-baked-mushroom-risotto-pesto-recipe/wdvr1ggu#coral_thread,"[{'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'leek', 'name': ', pale section only, thinly sliced'}, {'quantity': '1', 'unit': 'small', 'name': 'fennel, thinly sliced'}, {'quantity': '1', 'unit': 'brown', 'name': 'onion, thinly sliced'}, {'quantity': '1', 'unit': 'garlic', 'name': 'clove, crushed'}, {'quantity': '200', 'unit': 'g', 'name': 'brown mushrooms, thickly sliced'}, {'quantity': '20', 'unit': 'g', 'name': 'dried porcini mushrooms'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(125ml) dry white wine'}, {'quantity': '2', 'unit': 'cups', 'name': '(400g) arborio rice'}, {'quantity': '4', 'unit': 'cups', 'name': '(1L) vegetable or chicken stock'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(40g) finely grated parmesan'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(125g) mascarpone'}]","Preheat oven to 150°C. Heat half the oil in a flameproof casserole pan over medium heat. Add leek, fennel, onion and garlic and cook, stirring, for 5 mins or until onion softens. Transfer to a bowl., Heat remaining oil in the pan. Add brown mushroom and cook, stirring, for 2-3 mins or until light golden. Remove from heat. Stir in the onion mixture, porcini mushrooms, wine, rice and stock., Cover and bake for 1 hour or until rice is tender and liquid is almost absorbed. Set aside, covered, for 5 mins., Meanwhile, to make the chive pesto, process the rocket, chive, garlic, parmesan and almond in a food processor until finely chopped. With the motor running, add the oil in a thin, steady stream until combined. Season., Stir the parmesan and half the mascarpone into the risotto. Divide the risotto among serving bowls. Top with remaining mascarpone and chive pesto.","calories: 642, fat: 31.4g, carbs: 69.8g, protein: 15.2g, servings: 6",https://img.taste.com.au/-botctrO/w720-h480-cfill-q80/taste/2019/04/oven-baked-mushroom-risotto-with-pesto-149034-2.jpg
Tomato-tofu salad with creamy ginger dressing,https://www.taste.com.au/recipes/tomato-tofu-salad-creamy-ginger-dressing/d9257fda-c95a-46f3-b06d-8e95c6857c7e#coral_thread,"[{'quantity': '1', 'unit': 'sheet', 'name': 'nori (3g)'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'toasted sesame seeds, divided'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'finely chopped, peeled fresh ginger'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'tamari or soy sauce'}, {'quantity': '2', 'unit': 'tsp', 'name': 'mirin'}, {'quantity': '1 1/2', 'unit': 'tsp', 'name': 'sugar'}, {'quantity': '300', 'unit': 'g', 'name': 'silken firm tofu'}, {'quantity': '2', 'unit': 'Lebanese', 'name': 'cucumbers (200g total), thinly sliced'}, {'quantity': '2', 'unit': 'truss', 'name': 'tomatoes (200g), thinly sliced'}, {'quantity': '1', 'unit': 'large', 'name': 'avocado, quartered, pitted, peeled, and sliced'}, {'quantity': '20', 'unit': 'g', 'name': 'snow pea sprouts, bottoms trimmed'}, {'quantity': '4', 'unit': 'spring', 'name': 'onions, thinly sliced diagonally'}]","Preheat the oven to 220°C (200°C fan-forced). Place the nori on a baking tray and bake for about 5 minutes, or until toasted. Transfer the nori to a clean coffee grinder or mortar & pestle and grind to a powder. In a small bowl, combine 1 tablespoon of the sesame seeds and ground nori. Set aside., In a blender, blend the mayonnaise, vinegar, ginger, tamari, mirin, sugar and remaining 2 tablespoons sesame seeds for 1 minute., Drain the tofu and pat dry with paper towels. Cut the tofu in half lengthways, then crossways into 8 slices, to give 16 squares. Divide the cucumber slices among 4 plates. Place 4 slices of the tofu and 3 slices of tomato over the cucumber on each plate. Divide the avocado, sprouts and spring onions among the plates. Drizzle the dressing over and sprinkle generously with the nori-sesame mixture, and serve. Reserve any remaining nori-sesame mixture for another use.","calories: 327, fat: 27.2g, carbs: 16.0g, protein: 8.1g, servings: 4",https://img.taste.com.au/AWH3XZcf/w720-h480-cfill-q80/taste/2016/11/tomato-tofu-salad-with-creamy-ginger-dressing-100344-1.jpeg
Porcupine meatballs with cheesy toasts,https://www.taste.com.au/recipes/porcupine-meatballs-cheesy-toasts/87a8e733-b1cd-4707-ae9a-ba15fac2edca#coral_thread,"[{'quantity': '1', 'unit': 'kg', 'name': 'lean beef mince'}, {'quantity': '100', 'unit': 'g', 'name': '(1/2 cup) Basmati rice'}, {'quantity': '1', 'unit': 'carrot', 'name': ', peeled, coarsely grated'}, {'quantity': '1', 'unit': 'large', 'name': 'zucchini, coarsely grated'}, {'quantity': '1', 'unit': 'tsp', 'name': 'dried Italian herbs'}, {'quantity': '1', 'unit': 'x', 'name': '800g can diced tomatoes'}, {'quantity': '375', 'unit': 'ml', 'name': '(1 1/2 cups) water'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'tomato paste'}, {'quantity': '1/2', 'unit': 'Turkish', 'name': 'bread loaf, split'}, {'quantity': '130', 'unit': 'g', 'name': 'Jarlsberg cheese, thinly sliced'}]","Combine the mince, rice, carrot, zucchini and herbs in a large bowl. Roll heaped tablespoonfuls of the mince mixture into balls. Place on a plate., Place the tomato, water and tomato paste in a large frying pan over medium-high heat. Bring to the boil. Add meatballs. Reduce heat to medium., Cover and cook for 10 minutes. Uncover and cook for a further 10 minutes or until the rice is tender and sticking out of the meatballs., Meanwhile, preheat grill on high. Place bread on a baking tray. Cook under grill for 2-3 minutes or until toasted. Turn the bread over and top with cheese. Cook under grill for 2-3 minutes or until the cheese melts., Use a serrated knife to cut the toast into fingers. Serve with the meatballs.","calories: 563, fat: 22.3g, carbs: 40.2g, protein: 46.3g, servings: 6",https://img.taste.com.au/0CrkvbQC/w720-h480-cfill-q80/taste/2016/11/porcupine-meatballs-with-cheesy-toasts-66806-1.jpeg
Corned beef with horseradish bearnaise,https://www.taste.com.au/recipes/corned-beef-horseradish-bearnaise/bc48eb69-9553-4f74-a5cd-461e35e57e78#coral_thread,"[{'quantity': '1', 'unit': 'kg', 'name': 'piece corned silverside (uncooked) (see note), rinsed'}, {'quantity': '2', 'unit': 'bay', 'name': 'leaves'}, {'quantity': '4', 'unit': 'thyme', 'name': 'sprigs'}, {'quantity': '5', 'unit': 'dried', 'name': 'juniper berries'}, {'quantity': '2', 'unit': 'tsp', 'name': 'peppercorns'}, {'quantity': '1', 'unit': 'onion', 'name': ', quartered'}, {'quantity': '1', 'unit': 'carrot', 'name': ', roughly chopped'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'malt vinegar'}, {'quantity': None, 'unit': 'Chopped', 'name': 'mustard fruits, to serve'}, {'quantity': None, 'unit': 'Steamed', 'name': 'vegetables, to serve'}, {'quantity': None, 'unit': 'Chopped', 'name': 'parsley, to serve'}]","Place beef in a large saucepan with herbs, spices and vegetables. Cover with cold water, add vinegar and bring to the boil. Reduce heat to low, then cover and simmer for 3 hours, skimming surface occasionally, until meat is very tender., About 30 minutes before beef is done, make the bearnaise. Place vinegar, wine and eschalot in a pan over medium heat. Cook for 2-3 minutes or until reduced to 1 tablespoon. Strain into a heatproof bowl, then cool slightly. Add egg yolks, then set bowl over a pan of simmering water (don't let bowl touch water). Whisk until pale, then slowly whisk in butter, 1 tablespoon at a time, until mixture thickens. Remove bowl from heat, then stir in horseradish and tarragon. Season, then keep in a warm place until ready to serve., Drain beef, discarding liquid and vegetables. Thinly slice meat, then serve with baby vegetables (see related recipe) and sauce, scattered with mustard fruits and parsley.","calories: 409, fat: 28.5g, carbs: 6.3g, protein: 31.7g, servings: 6",https://img.taste.com.au/XJyr-fer/w720-h480-cfill-q80/taste/2016/11/corned-beef-with-horseradish-bearnaise-47958-1.jpeg
Fish tacos,https://www.taste.com.au/recipes/fish-tacos-2/84caf6f9-9af5-49a1-ab6c-3d21a4a82f8e#coral_thread,"[{'quantity': '1/4', 'unit': 'red', 'name': 'cabbage, finely shredded'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'extra virgin olive oil'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'lemon juice or lime juice'}, {'quantity': '2', 'unit': 'cobs', 'name': 'corn, husks and silks removed'}, {'quantity': '60', 'unit': 'ml', 'name': '(1/4 cup) olive oil or rice bran oil'}, {'quantity': '1', 'unit': 'avocado', 'name': ', mashed'}, {'quantity': '1', 'unit': 'French', 'name': 'shallot, finely chopped'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'fresh coriander leaves, chopped'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'White Plain Flour'}, {'quantity': '1', 'unit': 'tsp', 'name': 'ground coriander'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'cayenne pepper'}, {'quantity': '400', 'unit': 'g', 'name': 'white fish fillets, cut into strips'}, {'quantity': '4', 'unit': 'flour', 'name': 'tortillas, warmed through'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'Coles Sour Cream'}, {'quantity': None, 'unit': 'Fresh', 'name': 'coriander leaves, to serve'}, {'quantity': None, 'unit': 'Thinly', 'name': 'sliced fresh jalapeno chilli, to serve (optional)'}, {'quantity': None, 'unit': 'Lime', 'name': 'cheeks, to serve'}, {'quantity': None, 'unit': 'Hot', 'name': 'chilli sauce, to serve'}]","Mix the cabbage1/4 red cabbage, finely shredded, extra virgin olive oil1 tbsp extra virgin olive oil and 1 tbs of the lemon or lime juice in a bowl until well combined., Cook the corn2 cobs corn, husks and silks removed in a steamer set over a saucepan of simmering water for 10 minutes or until just tender., Preheat a barbecue plate or large frying pan over medium-high heat. Brush the corn with 1 tsp of the olive oil. Add the corn and cook, turning occasionally, for 10 minutes or until charred. Remove the kernels from the cob., Combine the avocado1 avocado, mashed, shallot1 French shallot, finely chopped, coriander1 tbsp fresh coriander leaves, chopped and remaining lemon or lime juice1 1/2 tbsp lemon juice or lime juice in a bowl., Combine the flour3 tbsp White Plain Flour, ground coriander1 tsp ground coriander and cayenne pepper1/2 tsp cayenne pepper in a large shallow bowl. Turn the fish400g white fish fillets, cut into strips in the flour mixture to coat. Heat the remaining olive oil in a large frying pan over medium-high heat. Add the fish and cook for 2 minutes each side or until golden and cooked through. Drain on paper towel., Divide the tortillas4 flour tortillas, warmed through among plates. Top with the cabbage mixture, corn, fish, avocado, sour cream1 tbsp Sour Cream, corianderFresh coriander leaves, to serve and chilliThinly sliced fresh jalapeno chilli, to serve (optional), if desired. Serve with the lime cheeks and chilli sauceHot chilli sauce, to serve.","calories: 486, fat: 28.4g, carbs: 36.8g, protein: 23.8g, servings: 4",https://img.taste.com.au/4ExGBlo1/w720-h480-cfill-q80/taste/2016/11/fish-tacos-95173-1.jpeg
Pork tostadas with avocado salsa,https://www.taste.com.au/recipes/pork-tostadas-avocado-salsa/8fdb672d-b2fc-4dca-9246-fa2adfd6ccb1#coral_thread,"[{'quantity': None, 'unit': 'Canola', 'name': 'oil, to shallow-fry'}, {'quantity': '8', 'unit': 'corn', 'name': 'tortillas'}, {'quantity': '1', 'unit': 'tsp', 'name': 'Mexican chilli powder'}, {'quantity': '1', 'unit': 'tsp', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'garlic', 'name': 'clove, crushed'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '500', 'unit': 'g', 'name': 'pork medallions, thinly sliced'}, {'quantity': '425', 'unit': 'g', 'name': 'can Old El Paso Mexe-Beans, drained'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'fresh lime juice'}, {'quantity': '1/4', 'unit': 'tsp', 'name': 'sugar'}, {'quantity': '1', 'unit': 'avocado', 'name': ', peeled, coarsely chopped'}, {'quantity': '250', 'unit': 'g', 'name': 'punnet grape tomatoes, quartered'}, {'quantity': '1', 'unit': 'Lebanese', 'name': 'cucumber, coarsely chopped'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped fresh coriander'}, {'quantity': '80', 'unit': 'g', 'name': '(1 cup) coarsely grated cheddar'}]","Preheat oven to 120°C. Add canola oil to a frying pan to come 1cm up side of pan. Heat over medium-high heat. Add 1 tortilla. Cook for 30 seconds each side or until crisp and golden. Transfer to a baking tray lined with paper towel. Repeat with remaining tortillas, reheating oil between batches. Place in oven to keep warm., Combine chilli powder, cumin, garlic and 1 tablespoon olive oil in a bowl. Add pork. Toss to coat. Heat half the remaining olive oil in a non-stick frying pan over medium-high heat. Cook one-third of pork for 2 minutes or until golden and cooked through. Transfer to a bowl. Cover with foil to keep warm. Repeat, in 2 more batches, with the remaining pork., Add beans to pan. Cook, mashing slightly, for 1-2 minutes or until heated through. Place in a bowl and cover with foil to keep warm., Combine lime juice, sugar and remaining olive oil in a large bowl. Add the avocado, tomato, cucumber and coriander. Toss to combine. Season with salt and pepper., Divide tortillas among serving plates. Top with pork, beans, avocado salsa and cheese.","calories: 668, fat: 29.9g, carbs: 57.1g, protein: 40.5g, servings: 4",https://img.taste.com.au/LrG-_YCn/w720-h480-cfill-q80/taste/2016/11/pork-tostadas-with-avocado-salsa-87514-1.jpeg
Vanilla bean panna cotta recipe,https://www.taste.com.au/recipes/vanilla-bean-panna-cotta/42215d20-7cdb-4fe6-b685-5a5d3b75b0f7#coral_thread,"[{'quantity': '1 1/2', 'unit': 'cups', 'name': '(375ml) pouring cream'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': '(375ml) milk'}, {'quantity': '1', 'unit': 'vanilla', 'name': 'bean'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(115g) caster sugar'}, {'quantity': '2 1/2', 'unit': 'tsp', 'name': 'gelatine powder'}, {'quantity': None, 'unit': 'Sliced', 'name': 'strawberries, to serve'}, {'quantity': None, 'unit': 'Blueberries', 'name': ', to serve'}]","Place the cream1 1/2 cups (375ml) pouring cream and milk1 1/2 cups (375ml) milk in a saucepan. Use a small sharp knife to split the vanilla bean1 vanilla bean lengthways, then scrape the seeds from inside the bean. Add the seeds and bean to the saucepan. Slowly bring to the boil over a medium heat. Remove from the heat and set aside for 10 minutes., Discard bean from cream mixture. Add sugar1/2 cup (115g) caster sugar and return to a low heat. Cook, stirring, for 5 minutes, or until sugar dissolves., Place 2 tablespoons of boiling water in a small heatproof bowl. Sprinkle over gelatine2 1/2 tsp gelatine powder. Bring a small saucepan of water to boil. Remove from heat. Sit the bowl of gelatine in the water and stir until dissolved. Cool slightly, then stir into the cream mixture., Lightly oil 6 x 1/2 cup (125ml) dariole moulds or ramekins. Place on a tray and pour in cream mixture. Refrigerate for 4 hours., To serve, break the seal by inserting a small knife between the panna cotta and the mould. Turn onto a serving plate and shake to release. Serve dish with fresh berriesSliced strawberries, to serve|Blueberries, to serve.","calories: 300, fat: 21.3g, carbs: 24.0g, protein: 4.5g, servings: 6",https://img.taste.com.au/gKeWh6b4/w720-h480-cfill-q80/taste/2016/11/vanilla-bean-panna-cotta-26199-1.jpeg
