,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
0,Easiest-ever fried rice,4,https://content.api.news/v3/images/bin/640b9032c71e6a71154a4b0e2af7454c,2272 kj (543cal),26.8g,8.7g,87.4g,357.1mg,5.6g
1,Cheesy French onion meatballs and mushrooms,4,https://img.taste.com.au/gJ9jKwKI/w720-h480-cfill-q80/taste/2023/02/cheesy-french-onion-meatballs-and-mushrooms-184637-2.jpg,3138 kj (750cal),35.9g,49.4g,39.0g,1.2g,3.8g
2,Mexican bento box,2 lunchboxes,https://img.taste.com.au/9839vdTQ/w720-h480-cfill-q80/taste/2016/11/mexican-bento-box-101821-1.jpeg,1660 kj (397cal),19.8g,21.6g,27.7g,736mg,6.1g
3,Thai chicken lettuce cups with avocado and lime,4,https://img.taste.com.au/fqti94HE/w720-h480-cfill-q80/taste/2016/11/thai-chicken-lettuce-cups-with-avocado-and-lime-90356-1.jpeg,4775 kj (1141cal),83.5g,56.8g,80.9g,3.3g,15.1g
4,Oven-baked mushroom risotto with pesto,6,https://img.taste.com.au/-botctrO/w720-h480-cfill-q80/taste/2019/04/oven-baked-mushroom-risotto-with-pesto-149034-2.jpg,2685 kj (642cal),15.2g,31.4g,69.8g,195.8mg,7.2g
5,Zucchini fritters with mint yoghurt,08m,https://img.taste.com.au/gnvLBPtM/w720-h480-cfill-q80/taste/2016/11/zucchini-fritters-with-mint-yoghurt-37516-1.jpeg,1235 kj (295cal),13.4g,16.8g,20g,387mg,4.3g
6,Tomato-tofu salad with creamy ginger dressing,4,https://img.taste.com.au/AWH3XZcf/w720-h480-cfill-q80/taste/2016/11/tomato-tofu-salad-with-creamy-ginger-dressing-100344-1.jpeg,1367 kj (327cal),8.1g,27.2g,16.0g,494mg,5.0g
7,Porcupine meatballs with cheesy toasts,6,https://img.taste.com.au/0CrkvbQC/w720-h480-cfill-q80/taste/2016/11/porcupine-meatballs-with-cheesy-toasts-66806-1.jpeg,2356 kj (563cal),46.3g,22.3g,40.2g,568.1mg,2.5g
8,Corned beef with horseradish bearnaise,6,https://img.taste.com.au/XJyr-fer/w720-h480-cfill-q80/taste/2016/11/corned-beef-with-horseradish-bearnaise-47958-1.jpeg,1710 kj (409cal),31.7g,28.5g,6.3g,448.1mg,1.2g
9,Fish tacos,4,https://img.taste.com.au/4ExGBlo1/w720-h480-cfill-q80/taste/2016/11/fish-tacos-95173-1.jpeg,2032 kj (486cal),23.8g,28.4g,36.8g,413.5mg,5.2g
10,Pork tostadas with avocado salsa,4,https://img.taste.com.au/LrG-_YCn/w720-h480-cfill-q80/taste/2016/11/pork-tostadas-with-avocado-salsa-87514-1.jpeg,2796 kj (668cal),40.5g,29.9g,57.1g,433mg,8.2g
11,Vanilla bean panna cotta recipe,6,https://img.taste.com.au/gKeWh6b4/w720-h480-cfill-q80/taste/2016/11/vanilla-bean-panna-cotta-26199-1.jpeg,1255 kj (300cal),4.5g,21.3g,24.0g,48mg,
12,Thai grilled beef and eggplant salad,4,https://img.taste.com.au/rlNZbOx0/w720-h480-cfill-q80/taste/2016/11/thai-grilled-beef-and-eggplant-salad-103125-1.jpeg,1962 kj (469cal),29.8g,18.5g,45.5g,669.7mg,3.1g
13,Pork tray bake with mustard nut butter,4,https://img.taste.com.au/fYc0tnu6/w720-h480-cfill-q80/taste/2017/06/pork-tray-bake-127182-1.jpg,3012 kj (720cal),34.1g,49.8g,30.1g,258mg,9.3g
14,Quail egg and pancetta pies,6,https://img.taste.com.au/84AJbmZX/w720-h480-cfill-q80/taste/2016/11/quail-egg-and-pancetta-pies-45618-1.jpeg,1981 kj (473cal),11.8g,29.0g,46.8g,306.6mg,0.2g
15,South Indian pumpkin &amp; coconut soup,4,https://img.taste.com.au/FVXGNSUl/w720-h480-cfill-q80/taste/2016/11/south-indian-pumpkin-coconut-soup-3555-1.jpeg,7930 kj (1895cal),17.6g,90.4g,252.5g,8.5g,22.3g
16,Rigatoni Bolognaise,4,https://img.taste.com.au/WWgoAYvT/w720-h480-cfill-q80/taste/2016/11/rigatoni-bolognaise-56733-1.jpeg,3954 kj (945cal),46.1g,45.4g,87.5g,1.1g,7.3g
17,Red wine-poached quince cobbler with honey ice-cream,8,https://img.taste.com.au/8NOZnP6w/w720-h480-cfill-q80/taste/2019/06/red-wine-poached-quince-cobbler-with-honey-ice-cream-150846-1.jpg,2378 kj (568cal),6.8g,14.4g,105.3g,340.5mg,4.4g
18,Samurai chicken stir-fry,4,https://img.taste.com.au/dvmvKA_a/w720-h480-cfill-q80/taste/2019/02/samurai-chicken-stir-fry-147573-2.jpg,1353 kj (323cal),35.3g,13.7g,15.8g,1.9g,3.9g
19,"Baby beet, lamb and spinach salad",4,https://img.taste.com.au/jRfxqKzj/w720-h480-cfill-q80/taste/2016/11/baby-beet-lamb-and-spinach-salad-30347-1.jpeg,1948 kj (466cal),32.2g,34.1g,8.6g,432.8mg,1.2g
20,Steak with polenta and black peppercorn sauce,4,https://img.taste.com.au/YhW8uX1c/w720-h480-cfill-q80/taste/2016/11/steak-with-polenta-and-black-peppercorn-sauce-8382-1.jpeg,2889 kj (690cal),39.7g,44.1g,29.1g,390mg,1.8g
21,Chicken baked in limoncello with zucchini 'spaghetti',4,https://img.taste.com.au/5BewsqUE/w720-h480-cfill-q80/taste/2016/11/chicken-baked-in-limoncello-with-zucchini-spaghetti-8645-1.jpeg,3396 kj (812cal),32.2g,43.1g,43.7g,100.4mg,6.4g
22,Tiramisu,4,https://img.taste.com.au/sRjVD-gy/w720-h480-cfill-q80/taste/2016/11/tiramisu-4906-1.jpeg,2493 kj (596cal),11.3g,33.8g,53.6g,156.7mg,0.4g
23,Our favourite caesar salad recipe,4,https://img.taste.com.au/J6WbLwTn/w720-h480-cfill-q80/taste/2016/11/caesar-salad-29418-1.jpeg,1931 kj (462cal),12.7g,39.8g,15.0g,630.7mg,5.0g
