,url,foodname,serving,image,ingredient,steps,calories,protein,fat,carb,sodium,fibre
0,https://www.taste.com.au/recipes/unique-fried-rice-recipe/ul4qta63#coral_thread,Easiest-ever fried rice,4,https://content.api.news/v3/images/bin/640b9032c71e6a71154a4b0e2af7454c,"['1 cup (200g) brown rice', '1 cup (200g) white rice', '1 tbsp olive oil', '300g Coles RSPCA Approved Australian Chicken Breast Fillet, cut into 3cm pieces', '2 carrots, peeled, finely chopped', '1 cup (120g) frozen baby peas', '1 red capsicum, seeded, finely chopped', '1 tbsp soy sauce', '2 spring onions, thinly sliced']","['Boil brown and white rice separately following packet directions. Drain well.', 'Heat the oil in a large frying pan over medium heat. Add the chicken and stir-fry for 3-4 mins or until chicken is browned and cooked through.', 'Add the carrot, peas and capsicum to the pan. Stir-fry for 3 mins or until vegetables are tender. Add combined rice to the pan. Stir-fry for 2 mins or until well combined. Remove from heat. Stir in the soy sauce and spring onion.']",2272 kj (543cal),26.8g,8.7g,87.4g,357.1mg,5.6g
1,https://www.taste.com.au/recipes/cheesy-french-onion-meatballs-mushrooms-recipe/nispc93v#coral_thread,Cheesy French onion meatballs and mushrooms,4,https://img.taste.com.au/gJ9jKwKI/w720-h480-cfill-q80/taste/2023/02/cheesy-french-onion-meatballs-and-mushrooms-184637-2.jpg,"['1 egg, lightly whisked', '500g Coles Beef 3 Star Regular Mince', '50g (1 cup) panko breadcrumbs', '40g packet French onion soup mix', '80g Colby cheese, cut into 20 small pieces', '1 tbsp vegetable oil', '200g portobello mushrooms, thickly sliced', '2 tbsp tomato paste', '125ml (1 ⁄2 cup) thickened cream', '60g baby spinach', '4 crusty bread slices']","['Combine the egg, beef, breadcrumbs and 1&1/2 tbsp soup mix in a large bowl. Use your hands to mix evenly. Roll a slightly heaped tablespoonful of mixture into a ball then flatten slightly. Place a piece of cheese in the centre then enclose and reshape mixture firmly into a ball. Repeat with the remaining mixture and cheese. Place on a tray and transfer to the fridge for 30 minutes to chill.', 'Heat the oil in a large non-stick frying pan over medium-high heat. Add half the meatballs. Cook, turning occasionally, for 5 minutes or until browned evenly. Transfer to a plate. Repeat with remaining meatballs.', 'Add mushroom to pan. Spread out to a single layer and cook, without turning, for 3 minutes or until golden brown underneath. Turn and cook on other side for 2 minutes. Transfer to the plate with meatballs.', 'Reduce heat to medium. Add the tomato paste to pan and cook, stirring, for 1 minute. Place the cream and 125ml (1 ⁄2 cup) water in a jug. Stir through the remaining soup mix until combined. Gradually pour the cream mixture into the pan, stirring, until combined.', 'Return the meatballs and mushrooms to pan. Cover with a lid and reduce heat to low. Simmer for 3 minutes then add the spinach. Cover and simmer for 2 minutes or until wilted. Season and serve with crusty bread.']",3138 kj (750cal),35.9g,49.4g,39.0g,1.2g,3.8g
2,https://www.taste.com.au/recipes/thai-chicken-lettuce-cups-avocado-lime/de26d10a-34dd-43cc-b88c-f12f1ef95d1d#coral_thread,Thai chicken lettuce cups with avocado and lime,4,https://img.taste.com.au/fqti94HE/w720-h480-cfill-q80/taste/2016/11/thai-chicken-lettuce-cups-with-avocado-and-lime-90356-1.jpeg,"[""50g Chang's rice vermicelli noodles"", '1 1/2 tsp Coles brand cornflour', '2 tbsp water', '1 tbsp olive oil', '1 small (75g) carrot, peeled, cut into matchstick-size strips', '4 cm-piece (20g) fresh ginger, peeled, finely chopped', '3 cloves garlic, crushed', '1 (14g) fresh loose long red chilli, finely chopped', '400g Coles chicken mince', '1 1/2 tbsp Coles brand oyster sauce', '1 1/2 tbsp Maggi fish sauce', '40g fresh bean sprouts', '12 cos lettuce leaves (about 1/2 lettuce)', '1/2 firm but ripe avocado, peeled, pitted, and cut into cubes', '1/2 lime, cut into 4 thin wedges']","['Bring a large saucepan of salted water to a boil over high heat. Stir in the vermicelli and cook, stirring often, for about 1-2 mins or until barely tender. Drain in a sieve and rinse under cold water until cooled. Drain well and transfer to a bowl. Stir the cornflour and 2 tablespoons water in a small bowl to blend.', 'Heat a wok or large heavy-based non-stick frying pan over medium-high heat. Add the oil, then add the carrot, ginger, garlic, and chilli and cook for about 1 min, or until fragrant. Add the mince and cook, breaking it up with a spoon or spatula, for 2 mins or until almost cooked. Stir in the oyster sauce, fish sauce, and cornflour mixture. Cook for about 1-2 mins to allow the flavours to blend and the sauce to simmer and thicken slightly. Fold in the bean sprouts.', 'Divide the vermicelli among the lettuce cups. Top with the mince mixture. Garnish with the avocado and coriander, and serve with the lime wedges.']",4775 kj (1141cal),83.5g,56.8g,80.9g,3.3g,15.1g
3,https://www.taste.com.au/recipes/oven-baked-mushroom-risotto-pesto-recipe/wdvr1ggu#coral_thread,Oven-baked mushroom risotto with pesto,6,https://img.taste.com.au/-botctrO/w720-h480-cfill-q80/taste/2019/04/oven-baked-mushroom-risotto-with-pesto-149034-2.jpg,"['1 tbsp olive oil', '1 leek, pale section only, thinly sliced', '1 small fennel, thinly sliced', '1 brown onion, thinly sliced', '1 garlic clove, crushed', '200g brown mushrooms, thickly sliced', '20g dried porcini mushrooms', '1/2 cup (125ml) dry white wine', '2 cups (400g) arborio rice', '4 cups (1L) vegetable or chicken stock', '1/2 cup (40g) finely grated parmesan', '1/2 cup (125g) mascarpone']","['Preheat oven to 150°C. Heat half the oil in a flameproof casserole pan over medium heat. Add leek, fennel, onion and garlic and cook, stirring, for 5 mins or until onion softens. Transfer to a bowl.', 'Heat remaining oil in the pan. Add brown mushroom and cook, stirring, for 2-3 mins or until light golden. Remove from heat. Stir in the onion mixture, porcini mushrooms, wine, rice and stock.', 'Cover and bake for 1 hour or until rice is tender and liquid is almost absorbed. Set aside, covered, for 5 mins.', 'Meanwhile, to make the chive pesto, process the rocket, chive, garlic, parmesan and almond in a food processor until finely chopped. With the motor running, add the oil in a thin, steady stream until combined. Season.', 'Stir the parmesan and half the mascarpone into the risotto. Divide the risotto among serving bowls. Top with remaining mascarpone and chive pesto.']",2685 kj (642cal),15.2g,31.4g,69.8g,195.8mg,7.2g
4,https://www.taste.com.au/recipes/tomato-tofu-salad-creamy-ginger-dressing/d9257fda-c95a-46f3-b06d-8e95c6857c7e#coral_thread,Tomato-tofu salad with creamy ginger dressing,4,https://img.taste.com.au/AWH3XZcf/w720-h480-cfill-q80/taste/2016/11/tomato-tofu-salad-with-creamy-ginger-dressing-100344-1.jpeg,"['1 sheet nori (3g)', '3 tbsp toasted sesame seeds, divided', '1/3 cup mayonnaise', '1/4 cup rice vinegar', '3 tbsp finely chopped, peeled fresh ginger', '1 tbsp tamari or soy sauce', '2 tsp mirin', '1 1/2 tsp sugar', '300g silken firm tofu', '2 Lebanese cucumbers (200g total), thinly sliced', '2 truss tomatoes (200g), thinly sliced', '1 large avocado, quartered, pitted, peeled, and sliced', '20g snow pea sprouts, bottoms trimmed', '4 spring onions, thinly sliced diagonally']","['Preheat the oven to 220°C (200°C fan-forced). Place the nori on a baking tray and bake for about 5 minutes, or until toasted. Transfer the nori to a clean coffee grinder or mortar & pestle and grind to a powder. In a small bowl, combine 1 tablespoon of the sesame seeds and ground nori. Set aside.', 'In a blender, blend the mayonnaise, vinegar, ginger, tamari, mirin, sugar and remaining 2 tablespoons sesame seeds for 1 minute.', 'Drain the tofu and pat dry with paper towels. Cut the tofu in half lengthways, then crossways into 8 slices, to give 16 squares. Divide the cucumber slices among 4 plates. Place 4 slices of the tofu and 3 slices of tomato over the cucumber on each plate. Divide the avocado, sprouts and spring onions among the plates. Drizzle the dressing over and sprinkle generously with the nori-sesame mixture, and serve. Reserve any remaining nori-sesame mixture for another use.']",1367 kj (327cal),8.1g,27.2g,16.0g,494mg,5.0g
5,https://www.taste.com.au/recipes/porcupine-meatballs-cheesy-toasts/87a8e733-b1cd-4707-ae9a-ba15fac2edca#coral_thread,Porcupine meatballs with cheesy toasts,6,https://img.taste.com.au/0CrkvbQC/w720-h480-cfill-q80/taste/2016/11/porcupine-meatballs-with-cheesy-toasts-66806-1.jpeg,"['1kg lean beef mince', '100g (1/2 cup) Basmati rice', '1 carrot, peeled, coarsely grated', '1 large zucchini, coarsely grated', '1 tsp dried Italian herbs', '1 x 800g can diced tomatoes', '375ml (1 1/2 cups) water', '2 tbsp tomato paste', '1/2 Turkish bread loaf, split', '130g Jarlsberg cheese, thinly sliced']","['Combine the mince, rice, carrot, zucchini and herbs in a large bowl. Roll heaped tablespoonfuls of the mince mixture into balls. Place on a plate.', 'Place the tomato, water and tomato paste in a large frying pan over medium-high heat. Bring to the boil. Add meatballs. Reduce heat to medium.', 'Cover and cook for 10 minutes. Uncover and cook for a further 10 minutes or until the rice is tender and sticking out of the meatballs.', 'Meanwhile, preheat grill on high. Place bread on a baking tray. Cook under grill for 2-3 minutes or until toasted. Turn the bread over and top with cheese. Cook under grill for 2-3 minutes or until the cheese melts.', 'Use a serrated knife to cut the toast into fingers. Serve with the meatballs.']",2356 kj (563cal),46.3g,22.3g,40.2g,568.1mg,2.5g
6,https://www.taste.com.au/recipes/corned-beef-horseradish-bearnaise/bc48eb69-9553-4f74-a5cd-461e35e57e78#coral_thread,Corned beef with horseradish bearnaise,6,https://img.taste.com.au/XJyr-fer/w720-h480-cfill-q80/taste/2016/11/corned-beef-with-horseradish-bearnaise-47958-1.jpeg,"['1kg piece corned silverside (uncooked) (see note), rinsed', '2 bay leaves', '4 thyme sprigs', '5 dried juniper berries', '2 tsp peppercorns', '1 onion, quartered', '1 carrot, roughly chopped', '2 tbsp malt vinegar', 'Chopped mustard fruits, to serve', 'Steamed vegetables, to serve', 'Chopped parsley, to serve']","['Place beef in a large saucepan with herbs, spices and vegetables. Cover with cold water, add vinegar and bring to the boil. Reduce heat to low, then cover and simmer for 3 hours, skimming surface occasionally, until meat is very tender.', ""About 30 minutes before beef is done, make the bearnaise. Place vinegar, wine and eschalot in a pan over medium heat. Cook for 2-3 minutes or until reduced to 1 tablespoon. Strain into a heatproof bowl, then cool slightly. Add egg yolks, then set bowl over a pan of simmering water (don't let bowl touch water). Whisk until pale, then slowly whisk in butter, 1 tablespoon at a time, until mixture thickens. Remove bowl from heat, then stir in horseradish and tarragon. Season, then keep in a warm place until ready to serve."", 'Drain beef, discarding liquid and vegetables. Thinly slice meat, then serve with baby vegetables (see related recipe) and sauce, scattered with mustard fruits and parsley.']",1710 kj (409cal),31.7g,28.5g,6.3g,448.1mg,1.2g
7,https://www.taste.com.au/recipes/fish-tacos-2/84caf6f9-9af5-49a1-ab6c-3d21a4a82f8e#coral_thread,Fish tacos,4,https://img.taste.com.au/4ExGBlo1/w720-h480-cfill-q80/taste/2016/11/fish-tacos-95173-1.jpeg,"['1/4 red cabbage, finely shredded', '1 tbsp extra virgin olive oil', '1 1/2 tbsp lemon juice or lime juice', '2 cobs corn, husks and silks removed', '60ml (1/4 cup) olive oil or rice bran oil', '1 avocado, mashed', '1 French shallot, finely chopped', '1 tbsp fresh coriander leaves, chopped', '3 tbsp White Plain Flour', '1 tsp ground coriander', '1/2 tsp cayenne pepper', '400g white fish fillets, cut into strips', '4 flour tortillas, warmed through', '1 tbsp Coles Sour Cream', 'Fresh coriander leaves, to serve', 'Thinly sliced fresh jalapeno chilli, to serve (optional)', 'Lime cheeks, to serve', 'Hot chilli sauce, to serve']","['Mix the cabbage1/4 red cabbage, finely shredded, extra virgin olive oil1 tbsp extra virgin olive oil and 1 tbs of the lemon or lime juice in a bowl until well combined.', 'Cook the corn2 cobs corn, husks and silks removed in a steamer set over a saucepan of simmering water for 10 minutes or until just tender.', 'Preheat a barbecue plate or large frying pan over medium-high heat. Brush the corn with 1 tsp of the olive oil. Add the corn and cook, turning occasionally, for 10 minutes or until charred. Remove the kernels from the cob.', 'Combine the avocado1 avocado, mashed, shallot1 French shallot, finely chopped, coriander1 tbsp fresh coriander leaves, chopped and remaining lemon or lime juice1 1/2 tbsp lemon juice or lime juice in a bowl.', 'Combine the flour3 tbsp White Plain Flour, ground coriander1 tsp ground coriander and cayenne pepper1/2 tsp cayenne pepper in a large shallow bowl. Turn the fish400g white fish fillets, cut into strips in the flour mixture to coat. Heat the remaining olive oil in a large frying pan over medium-high heat. Add the fish and cook for 2 minutes each side or until golden and cooked through. Drain on paper towel.', 'Divide the tortillas4 flour tortillas, warmed through among plates. Top with the cabbage mixture, corn, fish, avocado, sour cream1 tbsp Sour Cream, corianderFresh coriander leaves, to serve and chilliThinly sliced fresh jalapeno chilli, to serve (optional), if desired. Serve with the lime cheeks and chilli sauceHot chilli sauce, to serve.']",2032 kj (486cal),23.8g,28.4g,36.8g,413.5mg,5.2g
8,https://www.taste.com.au/recipes/pork-tostadas-avocado-salsa/8fdb672d-b2fc-4dca-9246-fa2adfd6ccb1#coral_thread,Pork tostadas with avocado salsa,4,https://img.taste.com.au/LrG-_YCn/w720-h480-cfill-q80/taste/2016/11/pork-tostadas-with-avocado-salsa-87514-1.jpeg,"['Canola oil, to shallow-fry', '8 corn tortillas', '1 tsp Mexican chilli powder', '1 tsp ground cumin', '1 garlic clove, crushed', '3 tbsp olive oil', '500g pork medallions, thinly sliced', '425g can Old El Paso Mexe-Beans, drained', '1 1/2 tbsp fresh lime juice', '1/4 tsp sugar', '1 avocado, peeled, coarsely chopped', '250g punnet grape tomatoes, quartered', '1 Lebanese cucumber, coarsely chopped', '1/3 cup chopped fresh coriander', '80g (1 cup) coarsely grated cheddar']","['Preheat oven to 120°C. Add canola oil to a frying pan to come 1cm up side of pan. Heat over medium-high heat. Add 1 tortilla. Cook for 30 seconds each side or until crisp and golden. Transfer to a baking tray lined with paper towel. Repeat with remaining tortillas, reheating oil between batches. Place in oven to keep warm.', 'Combine chilli powder, cumin, garlic and 1 tablespoon olive oil in a bowl. Add pork. Toss to coat. Heat half the remaining olive oil in a non-stick frying pan over medium-high heat. Cook one-third of pork for 2 minutes or until golden and cooked through. Transfer to a bowl. Cover with foil to keep warm. Repeat, in 2 more batches, with the remaining pork.', 'Add beans to pan. Cook, mashing slightly, for 1-2 minutes or until heated through. Place in a bowl and cover with foil to keep warm.', 'Combine lime juice, sugar and remaining olive oil in a large bowl. Add the avocado, tomato, cucumber and coriander. Toss to combine. Season with salt and pepper.', 'Divide tortillas among serving plates. Top with pork, beans, avocado salsa and cheese.']",2796 kj (668cal),40.5g,29.9g,57.1g,433mg,8.2g
9,https://www.taste.com.au/recipes/vanilla-bean-panna-cotta/42215d20-7cdb-4fe6-b685-5a5d3b75b0f7#coral_thread,Vanilla bean panna cotta recipe,6,https://img.taste.com.au/gKeWh6b4/w720-h480-cfill-q80/taste/2016/11/vanilla-bean-panna-cotta-26199-1.jpeg,"['1 1/2 cups (375ml) pouring cream', '1 1/2 cups (375ml) milk', '1 vanilla bean', '1/2 cup (115g) caster sugar', '2 1/2 tsp gelatine powder', 'Sliced strawberries, to serve', 'Blueberries, to serve']","['Place the cream1 1/2 cups (375ml) pouring cream and milk1 1/2 cups (375ml) milk in a saucepan. Use a small sharp knife to split the vanilla bean1 vanilla bean lengthways, then scrape the seeds from inside the bean. Add the seeds and bean to the saucepan. Slowly bring to the boil over a medium heat. Remove from the heat and set aside for 10 minutes.', 'Discard bean from cream mixture. Add sugar1/2 cup (115g) caster sugar and return to a low heat. Cook, stirring, for 5 minutes, or until sugar dissolves.', 'Place 2 tablespoons of boiling water in a small heatproof bowl. Sprinkle over gelatine2 1/2 tsp gelatine powder. Bring a small saucepan of water to boil. Remove from heat. Sit the bowl of gelatine in the water and stir until dissolved. Cool slightly, then stir into the cream mixture.', 'Lightly oil 6 x 1/2 cup (125ml) dariole moulds or ramekins. Place on a tray and pour in cream mixture. Refrigerate for 4 hours.', 'To serve, break the seal by inserting a small knife between the panna cotta and the mould. Turn onto a serving plate and shake to release. Serve dish with fresh berriesSliced strawberries, to serve|Blueberries, to serve.']",1255 kj (300cal),4.5g,21.3g,24.0g,48mg,
